"Blog category","Blogcategorie"
"Blog post","Blogbericht"
"Blog tag","Blogtag"
"Build in page builder","Bouwen in paginabouwer"
"Change edit scope","Bewerkingsbereik wijzigen"
"Control when this landing page is published. Leave empty for no limit.","Bepaal wanneer deze landingspagina wordt gepubliceerd. Laat leeg voor geen limiet."
"Create a new landing page","Een nieuwe landingspagina maken"
"Current link: ${url}","Huidige link: ${url}"
"Delete ${count} landing pages","${count} landingspagina's verwijderen"
"Disable ${count} landing pages","${count} landingspagina's uitschakelen"
"Editing","Bewerken"
"Enable ${count} landing pages","${count} landingspagina's inschakelen"
"Enable this landing page to make it visible on the storefront.","Schakel deze landingspagina in om deze zichtbaar te maken in de winkel."
"Enter landing page name","Voer de naam van de landingspagina in"
"Landing Pages","Landingspagina's"
"Landing page","Landingspagina"
"Landing page created successfully!","Landingspagina succesvol aangemaakt!"
"Loading pages…","Pagina's laden…"
"New Landing Page","Nieuwe landingspagina"
"No ${kind}s match ""${query}"".","Geen ${kind}s gevonden voor ""${query}""."
"No ${kind}s yet.","Nog geen ${kind}s."
"No categories match ""${query}"".","Geen categorieën gevonden voor ""${query}""."
"No categories yet.","Nog geen categorieën."
"No collections match ""${query}"".","Geen collecties gevonden voor ""${query}""."
"No collections yet.","Nog geen collecties."
"No landing pages match ""${query}"".","Geen landingspagina's gevonden voor ""${query}""."
"No landing pages yet.","Nog geen landingspagina's."
"No pages found.","Geen pagina's gevonden."
"No pages match ""${query}"".","Geen pagina's gevonden voor ""${query}""."
"No pages yet.","Nog geen pagina's."
"No products match ""${query}"".","Geen producten gevonden voor ""${query}""."
"No products yet.","Nog geen producten."
"Paste a URL or a relative path starting with ","Plak een URL of een relatief pad dat begint met "
"Pick a CMS page to link to.","Kies een CMS-pagina om naar te linken."
"Pick a blog ${kind} to link to.","Kies een blog-${kind} om naar te linken."
"Pick a category to link to.","Kies een categorie om naar te linken."
"Pick a collection.","Kies een collectie."
"Pick a landing page to link to.","Kies een landingspagina om naar te linken."
"Pick a product to link to.","Kies een product om naar te linken."
"Provide the SEO details for the landing page.","Geef de SEO-details voor de landingspagina op."
"Provide the basic information for the landing page.","Geef de basisgegevens voor de landingspagina op."
"Publish end","Einde publicatie"
"Publish start","Start publicatie"
"Schedule","Planning"
"The internal name of the landing page shown in the admin panel.","De interne naam van de landingspagina die in het adminpaneel wordt weergegeven."
"There is no landing page to display","Er is geen landingspagina om weer te geven"
"This is the URL path for the landing page.","Dit is het URL-pad voor de landingspagina."
"This page","Deze pagina"
"Duplicating ${name}","${name} dupliceren"
"The duplicate is created from the last saved version of this product. Your unsaved edits will not be included and will be lost when you leave this page.","Het duplicaat wordt gemaakt op basis van de laatst opgeslagen versie van dit product. Uw niet-opgeslagen wijzigingen worden niet meegenomen en gaan verloren wanneer u deze pagina verlaat."
"Continue without saving","Doorgaan zonder opslaan"
"You are creating a copy of ${name}","U maakt een kopie van ${name}"
"The copy is created as a standalone product — it does not join the source's variant group. Add it from the copy's edit page if needed.","De kopie wordt als zelfstandig product aangemaakt — deze sluit zich niet aan bij de variantgroep van het bronproduct. Voeg het zo nodig toe via de bewerkpagina van de kopie."
"Nothing is duplicated yet — hit Save to complete the duplication. Leaving this page without saving discards the copy.","Er is nog niets gedupliceerd — klik op Opslaan om het dupliceren te voltooien. Als u deze pagina verlaat zonder op te slaan, wordt de kopie verwijderd."
"Replace homepage with this page","Homepage vervangen door deze pagina"
"The homepage will show the widgets of ""${name}"".","De homepage toont dan de widgets van ""${name}""."
"Checking the homepage…","Homepage wordt gecontroleerd…"
"Something changed since the preview. Please review again.","Er is iets veranderd sinds het voorbeeld. Controleer opnieuw."
"These rollout plans change the homepage. Cancel them or wait until they end, then try again.","Deze uitrolplannen wijzigen de homepage. Annuleer ze of wacht tot ze eindigen en probeer het opnieuw."
"The homepage has page-specific widget placements. Remove them in the page builder first.","De homepage heeft paginaspecifieke widgetplaatsingen. Verwijder die eerst in de page builder."
"active","actief"
"upcoming","gepland"
"The current homepage widgets will be moved to a new disabled landing page named ""${name}"". You can restore it later with this same action.","De huidige homepagewidgets worden verplaatst naar een nieuwe, uitgeschakelde landingspagina met de naam ""${name}"". U kunt die later met dezelfde actie herstellen."
"${count} unpublished homepage change(s) by you will be discarded.","${count} niet-gepubliceerde homepagewijziging(en) van u worden verwijderd."
"${count} unpublished homepage change(s) by ${admins} other admin(s) will be discarded.","${count} niet-gepubliceerde homepagewijziging(en) van ${admins} andere beheerder(s) worden verwijderd."
"${count} change(s) left over from cancelled rollout plans will be discarded.","${count} wijziging(en) die overbleven van geannuleerde uitrolplannen worden verwijderd."
"${count} ended rollout plan(s) that changed the homepage will be cancelled so they cannot be re-scheduled.","${count} beëindigd(e) uitrolplan(nen) die de homepage wijzigden worden geannuleerd zodat ze niet opnieuw ingepland kunnen worden."
"This landing page is not live (unpublished, scheduled, or expired). The homepage does not use its schedule; the copy goes live as soon as you confirm.","Deze landingspagina is niet live (niet gepubliceerd, ingepland of verlopen). De homepage gebruikt haar planning niet; de kopie is live zodra u bevestigt."
"This landing page has ${count} unpublished change(s) in the page builder. Only published content is copied. Publish it first if the editor canvas is what you want.","Deze landingspagina heeft ${count} niet-gepubliceerde wijziging(en) in de page builder. Alleen gepubliceerde inhoud wordt gekopieerd. Publiceer eerst als u wilt wat de editor toont."
"A rollout plan is changing this landing page. Only its published content is copied.","Een uitrolplan wijzigt deze landingspagina. Alleen de gepubliceerde inhoud wordt gekopieerd."
"${count} widget(s) shown on every landing page are not part of this page and will not be copied.","${count} widget(s) die op elke landingspagina staan, horen niet bij deze pagina en worden niet gekopieerd."
"${count} hidden widget(s) in this page's ""content"" area will not be copied.","${count} verborgen widget(s) in het gebied ""content"" van deze pagina worden niet gekopieerd."
"${count} link(s) in this page point at the page itself. They will still point there from the homepage.","${count} link(s) op deze pagina verwijzen naar de pagina zelf. Vanaf de homepage blijven ze daarheen verwijzen."
"This landing page has no visible widgets in the current theme. The homepage will be empty.","Deze landingspagina heeft geen zichtbare widgets in het huidige thema. De homepage wordt leeg."
"${count} site-wide widget(s) sit in the homepage content area and will appear mixed into the copied layout.","${count} sitebrede widget(s) staan in het inhoudsgebied van de homepage en verschijnen gemengd met de gekopieerde lay-out."
"Done. ""${name}"" is still published at its own URL. You now have ${count} homepage backup(s).","Klaar. ""${name}"" blijft gepubliceerd op de eigen URL. U heeft nu ${count} homepageback-up(s)."
"View backup","Back-up bekijken"
"Open homepage in page builder","Homepage openen in de page builder"
"Close","Sluiten"
"Cancel","Annuleren"
"Replace homepage","Homepage vervangen"
"Could not check the homepage.","De homepage kon niet worden gecontroleerd."
"The homepage could not be replaced.","De homepage kon niet worden vervangen."
"Include unpublished pages","Niet-gepubliceerde pagina's opnemen"
"This widget is also placed on ${count} specific page(s), managed in the page builder. Those placements are not listed here and are not changed when you save.","Deze widget staat ook op ${count} specifieke pagina('s), beheerd in de page builder. Die plaatsingen staan hier niet en veranderen niet bij het opslaan."
