Login,உள்நுழைவு
Logout,வெளியேறு
Email,மின்னஞ்சல்
Password,கடவுச்சொல்
Forgot your password?,உங்கள் கடவுச்சொல்லை மறந்துவிட்டீர்களா?
Create an account,கணக்கை உருவாக்கு
Register,பதிவு செய்யவும்
Full Name,முழுப் பெயர்
Full name,முழுப் பெயர்
SIGN IN,உள்நுழைக
Order History,ஆர்டர் வரலாறு
Account Details,கணக்கு விவரங்கள்
You have not placed any orders yet,நீங்கள் இதுவரை எந்த ஆர்டரும் வைக்கவில்லை
My Account,என் கணக்கு
Already have an account?,ஏற்கனவே கணக்கு உள்ளதா?
Contact information,தொடர்பு தகவல்
City,நகரம்
Account Information,கணக்கு தகவல்
Address,முகவரி
Postcode,அஞ்சல் குறியீடு
Postcode is required,அஞ்சல் குறியீடு தேவையானது
Telephone is required,தொலைபேசி எண் தேவையானது
Telephone,தொலைபேசி
Full name is required,முழுப் பெயர் தேவையானது
Country is required,நாடு தேவையானது
Country,நாடு
Province is required,மாநிலம் தேவையானது
Province,மாநிலம்
Billing Address,பில்லிங் முகவரி
Shipping Address,அனுப்பும் முகவரி
Create A New Account,புதிய கணக்கை உருவாக்கவும்
Contact,தொடர்பு
Customer information,வாடிக்கையாளர் தகவல்
