"Blog category","Danh mục blog"
"Blog post","Bài viết blog"
"Blog tag","Thẻ blog"
"Build in page builder","Xây dựng trong trình tạo trang"
"Change edit scope","Thay đổi phạm vi chỉnh sửa"
"Control when this landing page is published. Leave empty for no limit.","Kiểm soát thời điểm trang đích này được xuất bản. Để trống nếu không giới hạn."
"Create a new landing page","Tạo trang đích mới"
"Current link: ${url}","Liên kết hiện tại: ${url}"
"Delete ${count} landing pages","Xóa ${count} trang đích"
"Disable ${count} landing pages","Vô hiệu hóa ${count} trang đích"
"Editing","Đang chỉnh sửa"
"Enable ${count} landing pages","Kích hoạt ${count} trang đích"
"Enable this landing page to make it visible on the storefront.","Kích hoạt trang đích này để hiển thị trên gian hàng."
"Enter landing page name","Nhập tên trang đích"
"Landing Pages","Trang đích"
"Landing page","Trang đích"
"Landing page created successfully!","Tạo trang đích thành công!"
"Loading pages…","Đang tải trang…"
"New Landing Page","Trang đích mới"
"No ${kind}s match ""${query}"".","Không có ${kind}s nào khớp với ""${query}""."
"No ${kind}s yet.","Chưa có ${kind}s nào."
"No categories match ""${query}"".","Không có danh mục nào khớp với ""${query}""."
"No categories yet.","Chưa có danh mục nào."
"No collections match ""${query}"".","Không có bộ sưu tập nào khớp với ""${query}""."
"No collections yet.","Chưa có bộ sưu tập nào."
"No landing pages match ""${query}"".","Không có trang đích nào khớp với ""${query}""."
"No landing pages yet.","Chưa có trang đích nào."
"No pages found.","Không tìm thấy trang nào."
"No pages match ""${query}"".","Không có trang nào khớp với ""${query}""."
"No pages yet.","Chưa có trang nào."
"No products match ""${query}"".","Không có sản phẩm nào khớp với ""${query}""."
"No products yet.","Chưa có sản phẩm nào."
"Paste a URL or a relative path starting with ","Dán URL hoặc đường dẫn tương đối bắt đầu bằng "
"Pick a CMS page to link to.","Chọn một trang CMS để liên kết đến."
"Pick a blog ${kind} to link to.","Chọn một ${kind} blog để liên kết đến."
"Pick a category to link to.","Chọn một danh mục để liên kết đến."
"Pick a collection.","Chọn một bộ sưu tập."
"Pick a landing page to link to.","Chọn một trang đích để liên kết đến."
"Pick a product to link to.","Chọn một sản phẩm để liên kết đến."
"Provide the SEO details for the landing page.","Cung cấp thông tin SEO cho trang đích."
"Provide the basic information for the landing page.","Cung cấp thông tin cơ bản cho trang đích."
"Publish end","Kết thúc xuất bản"
"Publish start","Bắt đầu xuất bản"
"Schedule","Lịch trình"
"The internal name of the landing page shown in the admin panel.","Tên nội bộ của trang đích hiển thị trong bảng quản trị."
"There is no landing page to display","Không có trang đích nào để hiển thị"
"This is the URL path for the landing page.","Đây là đường dẫn URL cho trang đích."
"This page","Trang này"
"Duplicating ${name}","Đang nhân bản ${name}"
"The duplicate is created from the last saved version of this product. Your unsaved edits will not be included and will be lost when you leave this page.","Bản sao được tạo từ phiên bản đã lưu gần nhất của sản phẩm này. Các thay đổi chưa lưu của bạn sẽ không được đưa vào và sẽ bị mất khi bạn rời trang này."
"Continue without saving","Tiếp tục mà không lưu"
"You are creating a copy of ${name}","Bạn đang tạo một bản sao của ${name}"
"The copy is created as a standalone product — it does not join the source's variant group. Add it from the copy's edit page if needed.","Bản sao được tạo như một sản phẩm độc lập — nó không tham gia nhóm biến thể của sản phẩm gốc. Nếu cần, hãy thêm nó từ trang chỉnh sửa của bản sao."
"Nothing is duplicated yet — hit Save to complete the duplication. Leaving this page without saving discards the copy.","Chưa có gì được nhân bản — hãy bấm Lưu để hoàn tất việc nhân bản. Nếu rời trang này mà không lưu, bản sao sẽ bị hủy."
